No,Judul,Deskripsi,Instruktur,Peringkat,Total Jam,Harga
87,Learn Data Science with Python - Part 1: Python Basics,"Complete hands-on data science tutorial with Python, Anaconda Development Environment and Jupyter Notebooks",Tony Staunton,4,8,420000
88,Learn Data Science with Python - Part 1: Python Basics,"Complete hands-on data science tutorial with Python, Anaconda Development Environment and Jupyter Notebooks",Tony Staunton,4,8,420000
89,LEARNING PATH: Statistics and Data Mining for Data Science,Dive deep into the statistical and data mining techniques to get useful insights out of your data,Packt Publishing,4,52,2800000
90,Big Data Programming Languages & Big Data Vs Data Science,"Big Data Programming Languages,Skills to become a Big Data Professional,Differences between Big Data &  Data Science",Lalitha Audikesavan,3,6,1330000
91,Data Science with Jupyter: 2-in-1,Get the most out of Jupyter to perform various data science tasks,Packt Publishing,3.5,60,2800000
92,Essential Fundamentals of R,"Data Types and Structures in R , Inputting & Outputting Data, Writing User-Defined Functions, and Manipulating Data Sets","Geoffrey Hubona, Ph.D.",4.3,46,1330000
93,Learn Data Science on MacOS with Python,"Get started with Jupyter Notebook, Learn Python on Data Science with MacOS, Windows, Linux",Ashen Ishanka,2,86,280000
94,"3 in 1! Cisco CCNA, Python Programming, & Network Automation","Kursus Python for Network Engineers. Belajar 3 materi dalam satu kursus, Networking, Python, dan Network Programming","Ahmad Rosid Komarudin, Aguna Course",4.5,76,1120000
95,Kursus Android Dasar Dari Nol Sampai Expert,Kursus Android Online Khusus untuk Pemula yang ingin belajar dasar-dasar Android,Santren Koding,4.6,78,350000
96,Kotlin from Zero to Hero - Bahasa Indonesia,Belajar Pemrograman Kotlin dari Dasar hingga mahir,Udacoding Official,4,22,280000
97,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","Kirill Eremenko, SuperDataScience Team",4.6,81,2800000
98,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,Jose Portilla,4.6,127,2730000
99,Data science and Data preparation with KNIME,KNIME - a powerful tool for data science and machine learning tasks. Data science with higher efficiency,Dan We,4.9,20,2800000
100,Django with Data Science,"Learn how to integrate Django with Pandas, Numpy, Matplotlib, Seaborn",Luke Makinia,4.6,62,2240000
101,Data Science & Real World Computing with Jupyter Notebook,Gain hands-on experience in data analysis and visualization with Jupyter Notebook,Packt Publishing,3.8,88,2800000
102,Beginning Data Science with Python and Jupyter,Perform reproducible data analyses with these data exploration tools,Packt Publishing,3.5,18,2800000
103,Machine Learning with R,Machine Learning and Statistical Learning with R,SVBook Pte. Ltd.,4,30,2800000
104,Data Science without Coding hassle: Introducing Rapidminer,Rapidminer set up and getting started with data processing.,Sanya Chaudhary,3,6,280000
105,Using  SQL for Data Science,Learn Practical Data Science  Skills  using SQL,Bluelime Learning Solutions,4.3,44,1680000
106,Learning Path: R: Reward-Based Learning with R,Tackle programming problems and explore model-based and model-free learning algorithms for reward-based learning in R,Packt Publishing,4.6,32,2800000
107,Practical Foundations of R Programming,The basics of programming in R: R data structures; R subsetting operations; and R functions,"Geoffrey Hubona, Ph.D.",4.3,101,1330000
108,Julia Programming For Data Science & Machine Learning: Julia,Learn power of Julia High performace programming for Data Science and Machine Learning with nearly C like Performace,Data Science & Machine Learning Academy,4,36,2800000
109,Microsoft Power BI for Data Science and Data Analytics,Mastering Microsoft Power BI on designing and developing repots for data science and data analytics,Agus Kurniawan,3.9,79,980000
110,Learning Path: Data Science With Apache Spark 2,Get started with Spark for large-scale distributed data processing and data science,Packt Publishing,3.6,85,2800000
111,R Fundamentals,Learn Basics of R language,Mukund Ajmera,4.4,25,1050000
