No,Days,Package,Destination,Price
62,5D/4N,Experience Combination All Inclusive Package ,Amaya Resorts & Spa Kuda Rah Maldives," 25,105,995.00 "
63,4D/3N,Experience Angsana ,Angsana Maldives Ihuru," 18,425,889.00 "
64,5D/4N,Experience Angsana ,Angsana Maldives Ihuru," 23,689,252.00 "
65,4D/3N,Experience All Inclusive Package ,Angsana Maldives Ihuru," 23,615,121.00 "
66,5D/4N,Experience All Inclusive Package ,Angsana Maldives Ihuru," 30,608,228.00 "
67,4D/3N,Experience All Inclusive Package ,Cocoon Maldives," 19,949,711.00 "
68,5D/4N,Experience All Inclusive Package ,Cocoon Maldives," 24,348,202.00 "
69,5D/4N,Experience Combination All Inclusive Package,Cocoon Maldives," 27,972,428.00 "
70,4D/3N,Experience All Inclusive Package ,Kudafushi Resort and Spa Maldives," 19,743,789.00 "
71,5D/4N,Experience All Inclusive Package ,Kudafushi Resort and Spa Maldives," 19,743,789.00 "
72,5D/4N,Experience Combination All Inclusive Package ,Kudafushi Resort and Spa Maldives," 26,736,896.00 "
73,4D/3N,Experience Dine Around All Inclusive Package ,Dhigali Resort Maldives," 22,223,089.00 "
74,5D/4N,Experience Dine Around All Inclusive Package ,Dhigali Resort Maldives," 27,873,585.00 "
75,5D/4N,Experience Anantara Veli Maldives Discount Offer,Anantara Veli Maldives," 24,833,820.00 "
76,4D/3N,Experience All Inclusive Package ,Amari Havodda Maldives," 22,354,879.00 "
77,5D/4N,Experience All Inclusive Package ,Amari Havodda Maldives," 27,610,005.00 "
78,5D/4N,Experience Combination All Inclusive Package ,Amari Havodda Maldives," 30,904,755.00 "
79,4D/3N,Experience Platinum All Inclusive Package ,Emerald Maldives Resort & Spa Early Bird Offer-60 Days," 21,557,549.00 "
80,5D/4N,Experience Combination Platinum All Inclusive Package ,Emerald Maldives Resort & Spa Early Bird Offer-60 Days," 28,199,765.00 "
81,4D/3N,Experience All Inclusive Package ,Angsana Velavaru Maldives," 22,559,726.00 "
82,5D/4N,Experience All Inclusive Package ,Angsana Velavaru Maldives," 28,374,960.00 "
83,4D/3N,Experience Premium All Inclusive Package ,Furaveri Island Resort & Spa," 25,064,811.00 "
84,5D/4N,Experience Premium All Inclusive Package ,Furaveri Island Resort & Spa," 30,657,649.00 "
85,5D/4N,Experience Combination Premium All Inclusive Package ,Furaveri Island Resort & Spa," 32,963,974.00 "
86,4D/3N,Experience Luxury Taj ,Exotica Resort & Spa Maldives EBO-SUM20," 25,431,889.00 "
87,5D/4N,Experience Luxury Taj ,Exotica Resort & Spa Maldives EBO-FES20," 21,857,085.00 "
88,4D/3N,Experience Banyan Tree ,Vabbinfaru Maldives," 26,951,055.00 "
89,5D/4N,Experience Banyan Tree ,Vabbinfaru Maldives," 31,761,390.00 "
90,4D/3N,Experience All Inclusive Package Banyan Tree ,Vabbinfaru Maldives," 31,794,338.00 "
91,5D/4N,Experience All Inclusive Package Banyan Tree ,Vabbinfaru Maldives," 41,513,850.00 "
92,4D/3N,Experience Luxury ,W Maldives," 35,681,068.00 "
93,5D/4N,Experience Luxury ,W Maldives," 45,211,132.00 "
94,5D/4N,Experience Combination Luxury ,W Maldives," 47,682,195.00 "
95,4D/3N,Experience All Inclusive Premium Feeling Fantastic Package ,Fushifaru Maldives," 29,982,225.00 "
96,5D/4N,Experience All Inclusive Premium Feeling Fantastic Package ,Fushifaru Maldives," 37,988,468.00 "
97,5D/4N,Experience Combination All Inclusive Premium Feeling Fantastic Package,Fushifaru Maldives," 42,518,749.00 "
98,4D/3N,Experience Luxury All Inclusive Plus Package ,Hurawalhi Island Resort," 30,880,044.00 "
99,5D/4N,Experience Luxury All Inclusive Plus Package ,Hurawalhi Island Resort," 38,581,522.00 "
100,4D/3N,Experience Luxury Packages,Hideaway Beach Resort & Spa Dhonakulhi," 30,970,650.00 "
101,5D/4N,Experience Luxury Packages, Hideaway Beach Resort & Spa Dhonakulhi," 38,548,575.00 "
102,5D/4N,Experience Luxury Combination Packages,Hideaway Beach Resort & Spa Dhonakulhi," 42,963,540.00 "
103,4D/3N,Experience Platinum All Inclusive Luxury Packages ,Hideaway Beach Resort & Spa Dhonakulhi," 46,192,395.00 "
104,5D/4N,Experience Platinum All Inclusive Luxury Packages ,Hideaway Beach Resort & Spa Dhonakulhi," 58,844,235.00 "
105,5D/4N,Experience Combination Platinum All Inclusive Luxury Packages ,Hideaway Beach Resort & Spa," 63,176,831.00 "
106,4D/3N,Experience Luxury Conrad ,Maldives Rangali Island," 32,173,234.00 "
107,5D/4N,Experience Luxury Conrad,Maldives Rangali Island," 39,685,264.00 "
108,4D/3N,Experience Luxury All Inclusive Ultimate Inclusions Package ,Kandolhu Maldives," 33,458,186.00 "
109,5D/4N,Experience Luxury All Inclusive Ultimate Inclusions Package ,Kandolhu Maldives," 42,914,119.00 "
110,5D/4N,Experience Combination Luxury All Inclusive Ultimate Inclusions Package,Kandolhu Maldives," 48,498,720.00 "
111,4D/3N,Experience Huvafen ,Fushi Maldives," 38,070,836.00 "
112,5D/4N,Experience Huvafen,Fushi Maldives," 49,058,828.00 "
113,5D/4N,Experience Combination Huvafen ,Fushi Maldives," 55,730,696.00 "
114,4D/3N,Experience Luxury Anantara ,Kihavah Maldives Villas," 44,734,468.00 "
115,4D/3N,Experience Luxury Amilla ,Fushi Maldives," 40,731,347.00 "
116,5D/4N,Experience Combination All Inclusive Package,Club Med Kani & Club Med Manta Maldives," 16,456,000.00 "
117,4D/3N,Experience Luxury Huvafen,Fushi Maldives," 38,070,836.00 "
118,4D/3N,Experience Luxury All Inclusive Dine Around Kurumba Maldives,Kurumba Maldives," 22,956,171.00 "
